inci_name,cas_number,einecs_number,function
CURCUMA ZEDOARIA ROOT OIL,84961-49-9,284-637-1,"Perfuming, Skin Conditioning"
CURCUMA ZEDOARIA ROOT POWDER,84961-49-9,284-637-1,Skin Conditioning
CURCUMA ZEDOARIA ROOT WATER,84961-49-9,284-637-1,"Fragrance, Skin Conditioning"
CURCUMIN,458-37-7,207-280-5,"Antioxidant, Colorant"
CURCUMINYL GLUTAROYL HEXAPEPTIDE-24 AMIDE,,,"Antioxidant, Skin Conditioning, Skin Conditioning - Emollient"
CURCUMINYL GLUTAROYL TRIPEPTIDE-7,,,"Antioxidant, Skin Conditioning, Skin Conditioning - Emollient"
CURRY RED,25956-17-6,247-368-0,Hair Dyeing
CUSCUTA AUSTRALIS SEED EXTRACT,,,Skin Conditioning
CUSCUTA JAPONICA SEED EXTRACT,89998-10-7,289-747-3,Skin Conditioning
CUSPARIA FEBRIFUGA BARK EXTRACT,84775-53-1,283-883-7,Perfuming
CUTANEOUS LYSATE,,,"Moisturising, Skin Protecting"
CUTIBACTERIUM ACNES,,,"Antioxidant, Skin Conditioning - Miscellaneous"
CUTIBACTERIUM ACNES BACTERIOPHAGES,,,Antimicrobial
CUTIBACTERIUM ACNES FERMENT FILTRATE,,,"Antioxidant, Skin Conditioning - Miscellaneous"
CUTIBACTERIUM AVIDUM/GRANULOSUM FERMENT EXTRACT FILTRATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
CUTIBACTERIUM GRANULOSUM FERMENT EXTRACT FILTRATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
CUTTLEFISH BONE POWDER,,,Astringent
CYAMOPSIS TETRAGONOLOBA GUM,9000-30-0,232-536-8,"Binding, Emulsion Stabilising, Film Forming, Fragrance, Viscosity Controlling"
CYAMOPSIS TETRAGONOLOBA SYMBIOSOME EXTRACT,9000-30-0,232-536-8,"Antioxidant, Skin Conditioning"
CYANIDIUM CALDARIUM EXTRACT,,,Skin Conditioning
CYANOBACTERIUM APONINUM FERMENT,,,Skin Conditioning
CYANOCOBALAMIN,68-19-9,200-680-0,Skin Conditioning
CYANOCOBALAMIN/YEAST POLYPEPTIDE,,,Skin Conditioning
CYANOMETHYLPHENYL MENTHANE CARBOXAMIDE,852379-28-3,,Oral Care
CYANOTIS ARACHNOIDEA ROOT EXTRACT,,,Skin Conditioning
CYATHEA CUMINGII LEAF EXTRACT,,,Film Forming
CYATHEA MEDULLARIS LEAF EXTRACT,,,Skin Conditioning
CYATHUS STERCOREUS MYCELIUM EXTRACT,,,Skin Conditioning
CYATHUSAL A,,,Skin Conditioning
CYATHUSAL B,,,"Antioxidant, Skin Conditioning"
CYATHUSAL C,,,"Antioxidant, Skin Conditioning"
CYATHUSCAVIN C,,,Skin Conditioning
CYCAS REVOLUTA LEAF POWDER,,,"Abrasive, Skin Conditioning"
CYCLAMEN ALDEHYDE,103-95-7,203-161-7,Fragrance
CYCLAMEN ALDEHYDE / METHYL ANTHRANILATE SCHIFF BASE,91-50-9,202-072-0,Perfuming
CYCLAMEN ALDEHYDE DIETHYL ACETAL,7149-24-8,230-470-4,Perfuming
CYCLAMEN ALDEHYDE ETHYLENEGLYCOL CYCLIC ACETAL,72845-85-3,276-935-5,Perfuming
CYCLAMEN HOMOALDEHYDE,,,Fragrance
CYCLANTHERA PEDATA FRUIT EXTRACT,,,Antioxidant
CYCLIC ADENOSINE DIPHOSPHATE RIBOSE,,,"Hair Conditioning, Skin Conditioning, Skin Protecting"
CYCLIC LYSOPHOSPHATIDIC ACID,,,Humectant
CYCLIZED EUCALYPTUS CITRIODORA LEAF/TWIG OIL,1245629-80-4,,Fragrance
CYCLO PEG-6,17455-13-9,241-473-5,Not Reported
CYCLO(PROLYLPROLINE),,,"Skin Conditioning, Skin Conditioning - Emollient"
CYCLOARTENYL FERULATE,,,"Skin Conditioning, Skin Conditioning - Emollient"
CYCLOCARBOXYPROPYLOLEIC ACID,53980-88-4,258-897-1,"Skin Conditioning, Viscosity Controlling"
CYCLOCARYA PALIURUS LEAF EXTRACT,,,"Humectant, Skin Conditioning"
CYCLODEXTRIN,7585-39-9,231-493-2,"Absorbent, Chelating"
CYCLODEXTRIN CROSSPOLYMER,,,"Film Forming, Skin Protecting, Viscosity Controlling"
CYCLODEXTRIN HYDROXYPROPYLTRIMONIUM CHLORIDE,,,"Film Forming, Humectant, Skin Conditioning, Viscosity Controlling"
CYCLODEXTRIN LAURATE,,,"Film Forming, Humectant, Skin Conditioning, Skin Protecting"
CYCLODODECANAL DIMETHYL ACETAL,950-33-4,213-448-9,Perfuming
CYCLODODECYL ACETATE,6221-92-7,228-297-4,Perfuming
CYCLODODECYL FORMATE,59052-82-3,261-575-3,Perfuming
CYCLOETHOXYMETHICONE,,,"Skin Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOHEPTASILOXANE,107-50-6,203-496-9,"Anticaking, Skin Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOHEXADECANOL,2565-90-4,,Skin Conditioning
CYCLOHEXANE,110-82-7,203-806-2,Solvent
CYCLOHEXANE DIMETHANOL,105-08-8,203-268-9,Not Reported
CYCLOHEXANECARBOXYLIC ACID,98-89-5,202-711-3,Perfuming
CYCLOHEXANEDIAMINE TETRAACETIC ACID,482-54-2,207-582-7,Chelating
CYCLOHEXANEDIOL BIS-ETHYLHEXANOATE,,,Bleaching
CYCLOHEXANEDIOL BIS-METHYLCROTONATE,,,Bleaching
CYCLOHEXANEDIOL DICAPRYLATE,,,Bleaching
CYCLOHEXANOL,108-93-0,203-630-6,Perfuming
CYCLOHEXANONE,108-94-1,203-631-1,"Perfuming, Solvent"
CYCLOHEXANONE DIETHYL ACETAL,1670-47-9,216-798-0,Perfuming
CYCLOHEXASILOXANE,540-97-6,208-762-8,"Hair Conditioning, Skin Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOHEXENYLMETHYL BUTANOL,1359994-45-8,,Fragrance
CYCLOHEXYL ACETATE,622-45-7,210-736-6,Perfuming
CYCLOHEXYL BUTYRATE,1551-44-6,216-290-9,Perfuming
CYCLOHEXYL CROTONATE,31416-78-1,,Perfuming
CYCLOHEXYL CYCLOPENTENEACETATE,65405-69-8,265-740-0,Perfuming
CYCLOHEXYL HYDROXYBUTYRAMIDE,20388-04-9,,"Hair Conditioning, Skin Conditioning, Skin Conditioning - Emollient"
CYCLOHEXYL ISOVALERATE,7774-44-9,231-874-3,Perfuming
CYCLOHEXYL METHACRYLATE,101-43-9,202-943-5,Film Forming
CYCLOHEXYL METHACRYLATE/ETHYLHEXYL METHACRYLATE COPOLYMER,82227-04-1,,Film Forming
CYCLOHEXYL PHENETHYL ETHER,80858-47-5,279-576-2,Perfuming
CYCLOHEXYL PHENYLACETATE,42288-75-5,255-751-9,Perfuming
CYCLOHEXYL PHENYLCARBAMATE,3770-95-4,,Skin Conditioning
CYCLOHEXYL TOLUATE,6641-66-3,",","Solvent, Surfactant - Cleansing"
CYCLOHEXYL-4-METHYLPENTAN-2-ONE,4927-39-3,225-562-6,Perfuming
CYCLOHEXYLAMINE,108-91-8,203-629-0,"Anticorrosive, Buffering"
CYCLOHEXYLCYCLOHEXANONE,90-42-6,201-991-4,Perfuming
CYCLOHEXYLDIMETHANOL,105-08-8,203-268-9,Not Reported
CYCLOHEXYLETHANOL,1193-81-3,214-780-7 (I),Fragrance
CYCLOHEXYLETHYL ACETATE,13487-27-9,236-798-4,"Fragrance, Perfuming"
CYCLOHEXYLETHYL BUTYRATE,63449-88-7,264-158-4,Fragrance
CYCLOHEXYLETHYL CROTONATE,68039-69-0,268-276-7,Perfuming
CYCLOHEXYLGLYCERIN,10305-41-6,,Humectant
CYCLOHEXYLIDENECYCLOHEXANONE,1011-12-7,213-779-9,Perfuming
CYCLOHEXYLIDENEDIPHENYLMETHANE,30125-24-7,,Skin Conditioning
CYCLOHEXYLPROPANOL,5442-00-2,226-632-9,Perfuming
CYCLOHYDROXYPROLYL SERINE,211868-63-2,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
CYCLOMETHICONE,69430-24-6,- / 209-136-7 / 208-764-9 / 208-762-8,"Hair Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOOCTENYL METHYL CARBONATE,87731-18-8,401-620-8,Perfuming
CYCLOOCTYL METHYL CARBONATE,61699-38-5,262-912-7,Perfuming
CYCLOPENTADECANONE,502-72-7,207-951-2,"Deodorant, Fragrance"
CYCLOPENTADECENONE,35720-57-1,252-692-0,Perfuming
CYCLOPENTANE CARBOXYLIC ACID,3400-45-1,222-269-5,Surfactant - Cleansing
CYCLOPENTANONE,120-92-3,204-435-9,Perfuming
CYCLOPENTANONE TERT-BUTYLETHYLENE GLYCOL CYCLIC ACETAL,78649-62-4,278-963-3,Perfuming
CYCLOPENTASILOXANE,541-02-6,208-764-9,"Hair Conditioning, Skin Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOPENTYLAMINO CARBOXYMETHYLTHIAZOLYLINDOLE,,,
CYCLOPHENYLMETHICONE,68037-54-7,,"Hair Conditioning, Skin Conditioning"
CYCLOPIA GENISTOIDES FLOWER/LEAF/STEM EXTRACT,93348-14-2,297-154-6,"Antioxidant, Humectant, Skin Conditioning"
CYCLOPIA GENISTOIDES LEAF EXTRACT,93348-14-2,297-154-6,Antioxidant
CYCLOPIA INTERMEDIA LEAF EXTRACT,,,"Humectant, Skin Conditioning"
CYCLOPIA SUBTERNATA FLOWER/LEAF/STEM EXTRACT,,,"Antioxidant, Humectant, Skin Conditioning"
CYCLOPROPYLBIMATOPROST,1138395-12-6,,Antioxidant
CYCLOPROPYLMETHYLBIMATOPROST,1138395-10-4,,Antioxidant
CYCLOTETRADECANONE,3603-99-4,222-758-3,Perfuming
CYCLOTETRAGLUCOSE,159640-28-5,,"Binding, Bulking, Humectant, Skin Conditioning, Viscosity Controlling"
CYCLOTETRAPEPTIDE-24 AMINOCYCLOHEXANE CARBOXYLATE,197172-76-2,,Antioxidant
CYCLOTETRAPEPTIDE-24 AMINOCYCLOHEXANE CARBOXYLATE HCL,,,Skin Conditioning
CYCLOTETRASILOXANE,556-67-2,209-136-7 / -,"Hair Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOTRISILOXANE,541-05-9,208-765-4,"Hair Conditioning, Skin Conditioning, Skin Conditioning - Emollient, Solvent"
CYCLOVINYLMETHICONE,,,Film Forming
CYCLOVIROBUXINE,,,"Antioxidant, Bleaching"
CYCNOCHES COOPERI EXTRACT,,,"Antioxidant, Skin Conditioning - Emollient"
CYCNOCHES COOPERI FLOWER/LEAF EXTRACT,,,Skin Conditioning
CYDONIA OBLONGA FRUIT WATER,,,Skin Conditioning
CYDONIA OBLONGA LEAF EXTRACT,85117-13-1,285-564-8,Skin Conditioning
CYLINDROTHECA FUSIFORMIS EXTRACT,,,"Antioxidant, Skin Protecting"
CYMBIDIUM ERYTHRAEUM FLOWER EXTRACT,,,"Antioxidant, Humectant, Skin Conditioning, Skin Protecting"
CYMBIDIUM GOERINGII EXTRACT,,,"Antioxidant, Astringent, Hair Conditioning, Humectant, Skin Conditioning, Skin Protecting"
CYMBIDIUM GRANDIFLORUM FLOWER EXTRACT,,,Skin Conditioning
CYMBIDIUM GRANDIFLORUM ROOT EXTRACT,,,"Humectant, Skin Conditioning"
CYMBIDIUM GREAT FLOWER BULB EXTRACT,,,Hair Conditioning
CYMBIDIUM GREAT FLOWER EXTRACT,,,Hair Conditioning
CYMBIDIUM GREAT FLOWER FLOWER/STEM EXTRACT,,,"Skin Conditioning, Skin Conditioning - Emollient"
CYMBIDIUM GREAT FLOWER FLOWER/STEM WATER,,,"Skin Conditioning, Skin Conditioning - Emollient"
CYMBIDIUM GREAT FLOWER LEAF EXTRACT,,,Hair Conditioning
CYMBIDIUM GREAT FLOWER LEAF POWDER,,,Hair Conditioning
CYMBIDIUM GREAT FLOWER STEM EXTRACT,,,Hair Conditioning
CYMBIDIUM KANRAN EXTRACT,,,"Antioxidant, Astringent, Skin Conditioning, Skin Conditioning - Emollient"
CYMBIDIUM LANCIFOLIUM EXTRACT,,,"Antioxidant, Astringent, Skin Conditioning, Skin Conditioning - Emollient"
CYMBIDIUM LUCKY FLOWER STEM EXTRACT,,,Hair Conditioning
CYMBIDIUM SINENSE EXTRACT,,,"Antioxidant, Humectant, Skin Conditioning, Skin Conditioning - Emollient"
CYMBOPOGON AMBIGUUS LEAF EXTRACT,,,"Antioxidant, Skin Conditioning"
CYMBOPOGON BOMBYCINUS LEAF EXTRACT,1415551-73-3,,"Antioxidant, Skin Conditioning"
CYMBOPOGON CITRATUS EXTRACT,84238-19-7,282-487-1,"Hair Conditioning, Skin Conditioning"
CYMBOPOGON CITRATUS FLOWER WATER,,,"Fragrance, Skin Conditioning"
CYMBOPOGON CITRATUS LEAF,89998-14-1,289-752-0,"Fragrance, Skin Conditioning"
CYMBOPOGON CITRATUS LEAF EXTRACT OXIDIZED,84238-19-7,282-487-1,Perfuming
CYMBOPOGON CITRATUS LEAF OIL,89998-14-1,289-752-0,"Fragrance, Perfuming"
CYMBOPOGON CITRATUS LEAF POWDER,89998-14-1,289-752-0,"Humectant, Skin Conditioning"
CYMBOPOGON CITRATUS LEAF WATER,89998-14-1,289-752-0,"Antioxidant, Skin Conditioning"
CYMBOPOGON CITRATUS LEAF/STEM OIL,8007-02-1,295-161-9,"Flavouring, Fragrance, Skin Conditioning"
CYMBOPOGON FLEXUOSUS HERB EXTRACT,91844-92-7,295-161-9,Perfuming
CYMBOPOGON FLEXUOSUS HERB OIL,91844-92-7,295-161-9,Perfuming
CYMBOPOGON FLEXUOSUS LEAF OIL,,,Fragrance
CYMBOPOGON FLEXUOSUS LEAF POWDER,91844-92-7,295-161-9,Abrasive
CYMBOPOGON FLEXUOSUS LEAF/STEM OIL,,,"Flavouring, Fragrance, Skin Conditioning"
CYMBOPOGON FLEXUOSUS OIL,91844-92-7,295-161-9,Fragrance
CYMBOPOGON MARTINI HERB EXTRACT,84649-81-0,283-461-2,Perfuming
CYMBOPOGON MARTINI HERB EXTRACT FORMATE,94266-45-2,304-452-2,Perfuming
CYMBOPOGON MARTINI HERB OIL,84649-81-0,283-461-2,Perfuming
CYMBOPOGON MARTINI MOTIA HERB EXTRACT,91722-54-2,294-453-3,Perfuming
CYMBOPOGON MARTINI MOTIA HERB OIL,91722-54-2,294-453-3,Perfuming
CYMBOPOGON MARTINI OIL,84649-81-0,283-461-2,"Fragrance, Skin Conditioning, Tonic"
CYMBOPOGON MARTINI SOFIA HERB EXTRACT,92704-07-9,296-436-6,Perfuming
CYMBOPOGON MARTINI SOFIA HERB OIL,92704-07-9,296-436-6,Perfuming
CYMBOPOGON NARDUS HERB EXTRACT,89998-15-2,289-753-6,Perfuming
CYMBOPOGON NARDUS HERB EXTRACT/ ACETONE,94333-69-4,305-049-4,Perfuming
CYMBOPOGON NARDUS HERB OIL,89998-15-2,289-753-6,Perfuming
CYMBOPOGON NARDUS OIL,8000-29-1,289-753-6 / 289-753-6,"Fragrance, Tonic"
CYMBOPOGON SCHOENANTHUS EXTRACT,89998-16-3,289-754-1,"Skin Conditioning, Soothing"
CYMBOPOGON SCHOENANTHUS LEAF,89998-16-3,289-754-1,"Fragrance, Skin Conditioning"
CYMBOPOGON SCHOENANTHUS LEAF EXTRACT,89998-16-3,289-754-1,Skin Conditioning
CYMBOPOGON SCHOENANTHUS LEAF POWDER,89998-16-3,289-754-1,"Astringent, Skin Conditioning"
CYMBOPOGON SCHOENANTHUS LEAF WATER,,,Flavouring
CYMBOPOGON SCHOENANTHUS LEAF/STEM EXTRACT,89998-16-3,289-754-1,Skin Conditioning
CYMBOPOGON SCHOENANTHUS OIL,8007-02-1,289-754-1 / 289-752-0,"Fragrance, Tonic"
CYMBOPOGON SCHOENANTHUS WATER,89998-16-3,289-754-1,"Flavouring, Fragrance, Perfuming, Skin Conditioning"
CYMBOPOGON WINTERIANUS HERB EXTRACT,91771-61-8,294-954-7,Perfuming
CYMBOPOGON WINTERIANUS HERB EXTRACT MODIFIED,94349-74-3,305-192-2,Perfuming
CYMBOPOGON WINTERIANUS HERB OIL,91771-61-8,294-954-7,Perfuming
CYMBOPOGON WINTERIANUS LEAF OIL,,,"Fragrance, Skin Conditioning"
CYNANCHUM ATRATUM EXTRACT,,,Skin Conditioning
CYNANCHUM ATRATUM WATER,,,Skin Conditioning
CYNANCHUM PANICULATUM EXTRACT,,,"Humectant, Skin Conditioning, Skin Protecting"
CYNANCHUM WILFORDII ROOT EXTRACT,,,Skin Conditioning
CYNARA CARDUNCULUS SEED OIL,93165-00-5,296-883-7,"Antioxidant, Skin Conditioning - Emollient"
CYNARA SCOLYMUS BUD EXTRACT,84012-14-6,281-659-3,Skin Conditioning
CYNARA SCOLYMUS EXTRACT,84012-14-6,281-659-3,
CYNARA SCOLYMUS LEAF EXTRACT,84012-14-6,281-659-3,Skin Conditioning
CYNARA SCOLYMUS LEAF/ROOT POWDER,,,"Bleaching, Humectant"
CYNODON DACTYLON EXTRACT,84649-95-6,283-475-9,Skin Conditioning
CYNODON DACTYLON POWDER,84649-95-6,283-475-9,Skin Conditioning
CYNOMORIUM COCCINEUM EXTRACT,,,"Humectant, Skin Conditioning"
CYPERUS ARTICULATUS ROOT,,,Skin Conditioning - Emollient
CYPERUS ARTICULATUS ROOT OIL,,,Fragrance
CYPERUS ESCULENTUS ROOT OIL,223748-92-3,,Fragrance
CYPERUS ESCULENTUS TUBER EXTRACT,,,Skin Protecting
CYPERUS FLAVIDUS EXTRACT,,,"Skin Conditioning, Skin Conditioning - Emollient"
CYPERUS MALACCENSIS STEM EXTRACT,,,"Fragrance, Perfuming"
CYPERUS PAPYRUS LEAF CELL CULTURE EXTRACT,,,Skin Conditioning
CYPERUS PAPYRUS LEAF CELL EXTRACT,,,"Antioxidant, Skin Protecting"
CYPERUS PAPYRUS STEM EXTRACT,,,Skin Conditioning
CYPERUS ROTUNDUS FRUIT EXTRACT,85085-54-7,285-381-3,Skin Conditioning
CYPERUS ROTUNDUS ROOT EXTRACT,85085-54-7,285-381-3,Skin Conditioning
CYPERUS ROTUNDUS ROOT POWDER,85085-54-7,285-381-3,Skin Conditioning
CYPERUS ROTUNDUS TUBER EXTRACT,,,Skin Conditioning
CYPERUS SCARIOSUS RHIZOME EXTRACT,,,Antimicrobial
CYPERUS SCARIOSUS RHIZOME OIL,,,Antimicrobial
CYPERUS SCARIOSUS ROOT EXTRACT,91771-62-9,294-955-2,Perfuming
CYPERUS SCARIOSUS ROOT OIL,91771-62-9,294-955-2,Perfuming
CYPHOMANDRA BETACEA FRUIT EXTRACT,,,Skin Conditioning
CYPRIPEDIUM PUBESCENS EXTRACT,84775-54-2,283-884-2,"Skin Conditioning, Tonic"
CYRTOMIUM FALCATUM EXTRACT,,,Skin Conditioning
CYRTOPODIUM CARDIOCHILUM PSEUDOBULB EXTRACT,,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
CYSTAMINE DIMALEATE,2360920-95-0,,Hair Conditioning
CYSTEAMINE,60-23-1,,Hair Waving Or Straightening
CYSTEAMINE HCL,156-57-0,205-858-1,"Antioxidant, Hair Waving Or Straightening, Reducing"
CYSTEAMINE THIOGLYCOLATE,,,Hair Waving Or Straightening
CYSTEIC ACID,498-40-8,207-861-3,Skin Conditioning
CYSTEINE,52-90-4,200-158-2 / 222-160-2,"Antioxidant, Antistatic, Fragrance, Hair Conditioning, Hair Waving Or Straightening, Reducing"
CYSTEINE DNA,,,Skin Conditioning
CYSTEINE HCL,52-89-1,200-157-7,"Antioxidant, Hair Conditioning, Hair Waving Or Straightening, Reducing"
CYSTEINE/OLIGOMERIC PROANTHOCYANIDIN,,,Skin Conditioning
CYSTEINYL TRIPEPTIDE-35,,,"Anti-Sebum, Antioxidant, Chelating, Skin Protecting"
CYSTINE,56-89-3,200-296-3,"Antistatic, Fragrance, Hair Conditioning"
CYSTINE BIS-PG-PROPYL SILANETRIOL,,,Skin Conditioning
CYSTOSEIRA AMENTACEA/CAESPITOSA BRANCHYCARPA EXTRACT,,,Skin Conditioning
CYSTOSEIRA AMENTACEA/CAESPITOSA/BRANCHYCARPA EXTRACT,,,Skin Conditioning
CYSTOSEIRA BACCATA EXTRACT,,,Skin Conditioning
CYSTOSEIRA BALEARICA EXTRACT,,,Skin Conditioning
CYSTOSEIRA CAESPITOSA EXTRACT,,,Skin Protecting
CYSTOSEIRA COMPRESSA EXTRACT,,,
CYSTOSEIRA COMPRESSA POWDER,,,"Bleaching, Humectant, Skin Conditioning"
CYSTOSEIRA HUMILIS EXTRACT,,,Antioxidant
CYSTOSEIRA TAMARISCIFOLIA EXTRACT,,,Skin Conditioning
CYTIDINE,65-46-3,,"Skin Conditioning, Skin Protecting"
CYTISUS SCOPARIUS BRANCH/FLOWER/LEAF EXTRACT,84696-48-0,283-653-6,Skin Conditioning
CYTISUS SCOPARIUS FLOWER CERA,84696-48-0,283-653-6,Skin Conditioning
CYTISUS SCOPARIUS FLOWER EXTRACT,84696-48-0,283-653-6,"Fragrance, Skin Conditioning"
CYTISUS SCOPARIUS FLOWER WAX,,,Skin Conditioning
CYTOCHROME C,9007-43-6,232-700-9,Skin Conditioning
CYTOSINE,71-30-7,200-749-5,Skin Conditioning
D-ALLO-OCIMENOL,126-91-0,204-811-2,Perfuming
D-ARGINYL TYROSINYL ORNITHINYL PHENYLALANINE,,,Skin Conditioning - Miscellaneous
D-BORNYL ISOVALERATE,76-50-6,200-966-5,Perfuming
D-DIHYDROGERANIOL,1117-61-9,214-250-5,Fragrance
D-HEPTAPEPTIDE-1,,,Skin Conditioning
D-NONAPEPTIDE-1,,,Skin Conditioning
D-NONAPEPTIDE-1 DIPEPTIDE-15 D-HEPTAPEPTIDE-1 D-NONAPEPTIDE-2 GLYCINAMIDE,1415799-12-0,,Skin Conditioning
D-NONAPEPTIDE-2,,,Skin Conditioning
D-PHENYLALANYL TRIPEPTIDE-75,,,Skin Conditioning
D-PULEGONE,89-82-7,201-943-2,Perfuming
D-TRIMETHYL-3-CYCLOHEXENE-1-METHANOL,7785-53-7,232-081-5,Perfuming
D-TRIMETHYL-3-CYCLOHEXENE-1-METHYL ACETATE,7785-54-8,232-082-0,Perfuming
D-TRIMETHYL-3-CYCLOPENTENE-1-ACETALDEHYDE,4501-58-0,224-815-8,Perfuming
DACRYDIUM FRANKLINI WOOD EXTRACT,94334-02-8,305-081-9,Perfuming
DACRYDIUM FRANKLINI WOOD OIL,94334-02-8,305-081-9,Perfuming
DACTYLIOSOLEN FRAGILISSIMUS EXTRACT,,,Antioxidant
DACTYLORHIZA FUCHSII EXTRACT,,,Skin Conditioning
DAEDALEA DICKINSII MYCELIUM EXTRACT FILTRATE,,,"Antioxidant, Humectant, Skin Conditioning, Skin Protecting"
DAEDALEA DICKINSII MYCELIUM FERMENT FILTRATE,,,"Antioxidant, Humectant"
DAEDALEA DICKINSII/HYDROLYZED SALMON OVARY MEMBRANE EXTRACT/SOLUBLE COLLAGEN/SODIUM HYALURONATE FERMENT FILTRATE,,,"Humectant, Skin Conditioning, Skin Protecting"
DAEDALEA DICKINSII/SODIUM HYAURONATE FERMENT FILTRATE,,,"Antioxidant, Humectant"
DAEMONOROPS DRACO EXTRACT,84776-31-8,283-956-3,Astringent
DAHLIA VARIABILIS FLOWER EXTRACT,,,Skin Conditioning
DAHLIA VARIABILIS FLOWER WATER,,,"Skin Conditioning, Skin Conditioning - Emollient"
DAHLIA VARIABILIS SEED EXTRACT,,,"Skin Conditioning, Skin Conditioning - Emollient"
DAIDZEIN,486-66-8,207-635-4,Skin Conditioning
DALBERGIA LATIFOLIA WOOD EXTRACT,,,"Hair Conditioning, Skin Conditioning"
DALBERGIA ODORIFERA ROOT EXTRACT,,,"Skin Conditioning, Skin Protecting"
DALEA SPINOSA SEED OIL,,,Fragrance
DAMNACANTHUS MAJOR ADVENTITIOUS ROOT EXTRACT,,,"Antimicrobial, Antioxidant, Humectant, Skin Protecting"
DAMNACANTHUS MAJOR BRANCH/LEAF EXTRACT,,,Skin Conditioning
DAMNACANTHUS MAJOR CALLUS,,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
DAMNACANTHUS MAJOR CALLUS EXTRACT,,,"Antimicrobial, Antioxidant, Humectant, Skin Protecting"
DAMNACANTHUS MAJOR EXTRACT,,,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
DAMNACANTHUS MAJOR PHYTOPLACENTA EXTRACT,,,"Antimicrobial, Antioxidant, Hair Conditioning, Skin Conditioning"
DANIELLIA OLIVERI RESIN EXTRACT,,,"Skin Conditioning, Skin Conditioning - Emollient, Skin Protecting"
DAPHNE FEDDEI FLOWER/LEAF/STEM EXTRACT,,,Skin Conditioning
DAPHNE FEDDEI LEAF EXTRACT,,,Antioxidant
DAPHNE GENKWA BUD EXTRACT,,,Skin Conditioning
DAPHNE GNIDIUM LEAF EXTRACT,,,Skin Conditioning - Miscellaneous
DAPHNE KIUSIANA EXTRACT,,,Skin Conditioning
DAPHNE ODORA CALLUS EXTRACT,,,Skin Protecting
DAPHNETIN,486-35-1,207-632-8,Skin Conditioning
DAPHNIPHYLLUM MACROPODUM EXTRACT,,,Skin Conditioning
DARUTOSIDE,59219-65-7,,Skin Conditioning
DASIPHORA FRUTICOSA EXTRACT,,,"Hair Conditioning, Skin Conditioning"
DATEM,,,"Hair Conditioning, Skin Conditioning, Skin Conditioning - Emollient, Surfactant - Cleansing, Surfactant - Emulsifying"
DATURA STRAMONIUM LEAF EXTRACT,84696-08-2,283-627-4,Skin Conditioning
DATURA STRAMONIUM POWDER,84696-08-2,283-627-4 / -,Not Reported
DAUCUS CAROTA FLOWER WATER,,,Skin Conditioning
DAUCUS CAROTA FRUIT OIL,84929-61-3,284-545-1,Perfuming
DAUCUS CAROTA LEAF EXTRACT,84929-61-3,284-545-1,Skin Conditioning - Miscellaneous
DAUCUS CAROTA SATIVA CALLUS CULTURE EXTRACT,84929-61-3,284-545-1,Skin Conditioning
DAUCUS CAROTA SATIVA CALLUS LYSATE,,,Antioxidant
DAUCUS CAROTA SATIVA EXTRACT,84929-61-3,284-545-1,"Perfuming, Skin Conditioning"
DAUCUS CAROTA SATIVA FLOWER EXTRACT,,,"Humectant, Skin Conditioning, Skin Protecting"
DAUCUS CAROTA SATIVA JUICE,84929-61-3,284-545-1,Skin Conditioning
DAUCUS CAROTA SATIVA LEAF/STEM EXTRACT,,,"Antimicrobial, Deodorant, Skin Conditioning"
DAUCUS CAROTA SATIVA ROOT,84929-61-3,284-545-1,Skin Conditioning
DAUCUS CAROTA SATIVA ROOT CELL CULTURE LYSATE,,,Skin Conditioning
DAUCUS CAROTA SATIVA ROOT EXTRACT,84929-61-3,284-545-1,Skin Conditioning
DAUCUS CAROTA SATIVA ROOT JUICE,,,"Humectant, Skin Conditioning"
DAUCUS CAROTA SATIVA ROOT POWDER,84929-61-3,284-545-1,Skin Conditioning
DAUCUS CAROTA SATIVA ROOT PROTOPLASTS,84929-61-3,284-545-1,"Humectant, Skin Conditioning, Skin Conditioning - Emollient"
DAUCUS CAROTA SATIVA ROOT WATER,84929-61-3,284-545-1,Fragrance
DAUCUS CAROTA SATIVA SEED EXTRACT,84929-61-3,284-545-1,"Skin Conditioning, Skin Conditioning - Emollient"
DAUCUS CAROTA SATIVA SEED OIL,8015-88-1,- / 284-545-1,"Fragrance, Skin Conditioning, Skin Conditioning - Emollient"
DAUCUS CAROTA SATIVA WATER,84929-61-3,284-545-1,Fragrance
DAVIDSONIA JERSEYANA FRUIT EXTRACT,1174401-42-3,,"Antioxidant, Hair Conditioning, Humectant, Skin Conditioning"
